country_code,decade,contemporaneous_effect
ISR,1970s,0.3420637392673685
ISR,1980s,3.192533841566242
ISR,1990s,9.833189974044377
ISR,2000s,-2.7487829659800336
ISR,2010s,-0.22513676244420172
ISR,2020-2024,-1.2093465629676856
ITA,1960s,-1.2048110872507118
ITA,1970s,-1.9912851625449832
ITA,1980s,1.1285712101029528
ITA,1990s,0.009677317002200009
ITA,2000s,-2.2427006946520853
ITA,2010s,-0.4693008024797692
ITA,2020-2024,0.8346190328032903
JAM,1960s,4.102799814685591
JAM,1970s,0.7422114005936956
JAM,1980s,3.191167309857162
JAM,1990s,-1.3108930829177394
JAM,2000s,-0.40377461637180534
JAM,2010s,0.5445622872668563
JAM,2020-2024,0.0520515800407078
JOR,1960s,4.275075962969174
JOR,1970s,1.53840273991884
JOR,1980s,0.18135542591961937
JOR,1990s,4.022564779105299
JOR,2000s,-0.35038685453304874
JOR,2010s,0.7363314580738847
JOR,2020-2024,0.21058936463357672
JPN,1960s,0.6917534936436445
JPN,1970s,0.36020436603092976
JPN,1980s,0.5553623897959298
JPN,1990s,0.7865380773630761
JPN,2000s,0.5029764276858231
JPN,2010s,0.41262565816990465
JPN,2020-2024,0.05080672683250896
KAZ,1960s,3.7523093928840767
KAZ,1970s,-1.115527794864034
KAZ,1980s,3.9966538692981954
KAZ,1990s,7.556978550013805
KAZ,2000s,-0.7807943902248267
KAZ,2010s,0.38756004751148854
KAZ,2020-2024,-0.000649667157828257
KEN,1960s,0.8827793689023273
KEN,1970s,0.8699302512593531
KEN,1980s,-0.4584659870706769
KEN,1990s,-3.705461005039458
KEN,2000s,3.416576697629938
KEN,2010s,1.459779460628969
KEN,2020-2024,0.8896506098653902
KGZ,1960s,2.048072511470183
KGZ,1970s,1.4368435638228285
KGZ,1980s,5.204920286849182
KGZ,1990s,8.112730806567178
KGZ,2000s,-1.2008539252089858
KGZ,2010s,-1.7680718055523759
KGZ,2020-2024,0.5971452699371739
KHM,1960s,-1.365313071573012
KHM,1970s,-4.373349413693929
KHM,1980s,6.896397749083944
KHM,1990s,-1.3653156220387455
KHM,2000s,3.6440201669167736
KHM,2010s,-2.9083126005671147
KHM,2020-2024,1.2643953325718502
KIR,1960s,-1.7773801964876028
KIR,1970s,0.24245042418273643
KIR,1980s,-3.036309546868277
KIR,1990s,-2.456247008947011
KIR,2000s,-3.0817963251366396
KIR,2010s,-1.7233260642171633
KIR,2020-2024,0.3716844712528814
KNA,1960s,0.250763859578081
KNA,1970s,-1.5908737014339813
KNA,1980s,6.93410427394913
KNA,1990s,-1.0957780216903341
KNA,2000s,1.0202778378201227
KNA,2010s,-3.3263389855857515
KNA,2020-2024,0.503683401178868
KOR,1960s,3.4498572031026082
KOR,1970s,-2.8047207260905207
KOR,1980s,4.945709504513326
KOR,1990s,2.896661449512228
KOR,2000s,-2.728880406459768
KOR,2010s,-1.3755521636637256
KOR,2020-2024,0.8631747933650111
KWT,1960s,4.503997500364049
KWT,1970s,4.172271544279381
KWT,1980s,1.1449110503608573
KWT,1990s,-1.7254196255807948
KWT,2000s,-0.7108015226533971
KWT,2010s,0.32491325557079753
KWT,2020-2024,-0.17113647514909336
LAO,1960s,-2.358870791414218
LAO,1970s,7.078392509673001
LAO,1980s,2.111260020160003
LAO,1990s,2.9047883470406832
LAO,2000s,-0.9567626030367775
LAO,2010s,0.5903307754702123
LAO,2020-2024,0.3308228195013966
LBN,1960s,-3.034232626372434
LBN,1970s,-1.3307061430012121
LBN,1980s,-6.387334830217318
LBN,1990s,6.703338960225614
LBN,2000s,1.0501385722356407
LBN,2010s,-1.6504228444843694
LBN,2020-2024,0.16680747862234385
LBR,1960s,-0.9993793710552521
LBR,1970s,-0.5957778427249201
LBR,1980s,-0.4426240693697176
LBR,1990s,1.2369942636117663
